"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",1.7,2.46,1.04,0,1.82,2.37,8.85,1.29,1.02,1.24,1.69,0.71,1.89,1.8
"2",11.23,1.07,14.66,0,0.79,1.58,1.07,11.13,11.19,14.01,12.7,13.39,2.18,12.01
"3",8.52,5.89,4.65,0,6.17,1.05,5.8,6.82,3.15,7.72,4.38,4.5,8.55,8.54
"4",3.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,4.48,0,1.33,0,0.99,1.64,0,0,0,0,4.99,4.33
"6",0,0,0.94,0,1.33,1.58,1.22,0,0,0,0,1.13,0.63,0
"7",1.94,2.25,1.95,0,2.18,0,1.83,1.9,2.05,2.38,0,1.67,1.95,2.04
"8",12.24,12.85,0,7.08,15.92,0,12.6,7.85,1.18,0.95,0,0,5.74,6.25
"9",10.84,8.57,0,15.08,10.9,0,10.08,11.99,4.65,8.87,0,0,7.98,0.93
"10",0,0,4.95,0,0,7.63,0,0,0,0,0,1.7,0.34,0
"11",0,0,2.53,0,0,3.42,0,0,0,0,0,0.53,0.4,0
"12",3.64,3.21,2.8,0,2.18,0,4.27,3.11,2.92,4.48,0,2.09,2.81,3.72
"13",1.63,1.28,1.62,0,11.14,1.58,11.83,1.29,2.68,1.81,0,1.06,1.61,1.67
"14",10.22,10.17,13.68,0,9.44,9.74,8.7,9.23,9.22,12.96,11.46,13.93,12,9.72
"15",7.2,7.28,8.73,0,6.48,5.79,6.87,7.68,11.74,10.01,9.44,7.23,7.29,9.6
"16",0,0,13.31,1.12,0,18.95,0,0,0,0,0,15.73,12.17,0
"17",0,0,8.46,3.35,1.69,5,0,0,0,0,0,9.71,0,0
"18",0,0,0.88,0,0.24,0,0,0,0,0,0,0.89,0.34,0
"19",0,0,1.75,0,0,0,0,0,0,0,0,1.77,4.94,0
"20",5.19,4.5,5.12,6.33,5.81,6.05,4.35,4.83,0,8.1,0,0,4.88,5.76
"21",6.89,6.96,0,9.31,8.29,0,6.11,6.9,0,9.25,0,0,7.35,7.31
"22",3.02,0,0,5.59,2.85,0,3.28,0,0,3.72,0,0,2.93,2.79
"23",0,0,0,7.26,3.09,0,4.35,0,0,1.33,0,0,0,4.52
"24",2.56,0,0,7.26,3.15,0,2.98,0,0,3.15,0,0,0,2.6
"25",0,0,0,5.96,0,0,0,0,0,0,0,0,0,3.72
"26",5.03,0,0,8.38,6.11,0,0,6.99,0,0,0,0,0,0
"27",9.37,0,0,12.85,10.05,0,0,11.82,0,0,0,0,0,0
"28",6.12,4.93,4.95,4.47,6.3,0,5.73,4.57,3.31,3.43,0,5.39,5.11,3.72
"29",6.89,6.64,8.56,0,1.15,0,6.79,6.3,6.62,7.34,0,7.58,6.83,7.62
"30",2.09,14.35,15.33,0,1.69,17.63,1.91,1.73,2.05,2.67,0,15.02,2.87,14.67
"31",0,0,0.74,0,0,0,0,0,0,0,0,0.82,0,0
"32",4.96,5.03,4.04,5.96,5.08,9.47,4.73,4.57,0,5.05,0,4.15,4.71,4.77
"33",4.03,4.28,2.53,6.7,4.9,6.84,4.89,3.71,0,3.91,0,3.61,4.08,4.09
"34",2.01,0,0,3.35,1.39,0,1.83,1.81,0.39,0,0,0,2.01,1.67
"35",2.25,1.71,0,2.79,2.12,0,2.21,2.16,1.81,1.72,0,0,1.89,1.86
"36",2.87,0,0,8.57,3.63,0,2.98,5,2.92,2.96,0,0,0,2.6
"37",0,3.1,0,6.33,0,0,0,2.76,0,0,0,0,0,0.25
"38",2.48,0,2.66,0,0,0,0,0,0,2.57,0,3.05,3.1,2.85
"39",3.56,4.07,1.75,6.33,3.57,4.74,3.89,5.35,3.47,4.96,0,1.74,4.02,5.08
"40",3.8,3.64,3.44,4.84,3.75,5.26,3.97,3.36,0,4.96,2.36,3.22,3.67,3.84
"41",2.71,0,1.11,2.79,2.36,0,2.67,2.67,0,2.19,0,0,2.07,2.79
"42",0,0,1.68,0,1.76,0,0,1.47,1.97,2.1,0,1.74,1.78,1.67
"43",0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0.67,0,1.21,0,1.83,1.38,0,0,0,0.18,1.15,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.68
"46",0.93,0.96,0,0,1.27,0,1.22,1.29,0,0,0,0.99,1.09,0
"47",0,0,0.88,1.86,0.91,0,0,0,0,0,0,0.64,0,0
"48",0,0,0.67,2.23,0.91,0,0,0,0,0,0,1.03,0,0
"49",3.02,1.93,1.04,2.79,2.06,0,2.9,2.76,0,1.81,0,1.1,2.53,3.22
"50",0,0,0,0,2.54,0,1.76,1.81,1.26,1.62,0,1.1,2.81,2.29
"51",2.25,0,0,0,0,0,2.29,1.81,1.34,2,0,0.89,1.15,1.92
"52",3.64,0,3.57,3.54,2.12,6.32,0,0,0,0,0,3.79,3.9,3.84
"53",0,3.96,0,0,5.33,5.26,0.84,3.88,0,5.05,0,3.93,0.86,0.56
"54",0,0,3.5,0,3.21,0,0,3.36,0,0,0,3.4,2.99,0
"55",0,0,0.88,0,0.24,0,0,0,0,0,0,0.89,0.34,0
"56",0,0,1.75,0,0,0,0,0,0,0,0,1.77,4.94,0
"57",0,0,1.82,0,0,0,0,0,0,0,0,1.98,4.25,0
"58",0,0,3.84,0,0,0,0,0,0,0,0,3.26,1.61,0
"59",0,0,2.73,0,0,3.42,0,0,0,0,0,0.53,0.46,0
"60",0,2.57,0.67,1.86,1.82,0,2.21,1.81,1.42,0,0,0.99,1.03,1.24
"61",0,1.39,1.52,0,1.27,0,1.3,1.29,0,0,0,1.59,0,0
"62",8.99,8.78,5.56,7.64,8.23,10.53,8.78,8.37,5.36,8.48,4.27,4.39,9.64,8.61
"63",5.11,4.93,7.08,0,5.33,5.26,4.66,5.95,5.59,6.1,0,6.2,5.8,4.95
"64",1.08,0,1.15,0,1.76,0,0,1.38,1.73,1.43,0,0.96,0.98,1.24
"65",0,0,0.54,0,0,0,0,1.04,0,0,0,0,0,0
"66",1.32,0,1.08,0,1.57,0,0,0,0,0,0,0,0.92,0
"67",3.1,3.1,3.34,0,2.72,0,3.13,3.54,3.15,3.53,0,4.36,3.27,3.41
"68",0,0,0.64,0,0,0,0,0,0,0,0,3.69,0,0
"69",5.19,4.5,5.12,6.33,5.81,6.05,4.35,4.83,0,8.1,0,0,4.88,5.76
"70",6.89,6.96,0,9.31,8.29,0,6.11,6.9,0,9.25,0,0,7.35,7.31
"71",3.02,0,1.31,0,0,0,0,2.59,0,0,0,2.83,2.24,0
"72",0,0,1.25,0,2.72,0,0,2.5,0,0,0,0.71,0.46,0
"73",0,0,2.06,4.1,4.18,0,0,0.35,0,0,0,0.53,0.23,0
"74",0,0,1.15,0,0,0,0,0,0,0,0,1.63,0,0
"75",0,0,0.77,0,0,1.05,0,0,0,0,0,0.85,0,0
"76",0,0.64,0,0,2.78,0,2.98,0,0,2.96,0,2.69,3.56,0
"77",2.01,3.1,0,0,2.6,0,2.21,0,1.65,2.1,0,2.13,2.53,0
"78",0,2.25,1.11,0,1.82,0,1.68,0,0,1.53,0,1.63,1.66,0
"79",1.39,2.46,0,0,1.94,0,2.14,0,0,0,0,0,1.61,1.49
"80",1.78,1.93,1.58,4.66,2.06,0,1.3,1.64,0,2.57,0,1.56,1.78,1.92
"81",2.4,2.46,1.99,2.61,2.06,0,2.37,1.81,1.81,2.48,0,0,2.24,1.73
"82",0,0,0.74,2.05,1.03,1.84,1.3,0,0,1.72,0,0,1.61,1.92
"83",1.63,0,0,2.61,1.15,0,0.99,0.95,1.42,1.24,0,0.74,1.21,1.05
"84",0,0,0,0,1.82,0,1.45,1.55,0,0,0,0,1.55,0
"85",0,0,0,0,0,0,1.45,0,1.73,0,0,0,1.21,0
"86",0,0,1.38,0,1.51,0,0,1.38,0,1.33,0,1.13,2.01,0
"87",0,0,0,1.86,1.15,0,1.68,1.47,0,0,0,0,1.44,0
"88",0,0,0,0,1.45,0,0.99,0.95,0,0,0,1.13,1.61,0.93
"89",1.01,1.07,0.98,2.42,1.45,1.84,1.07,0,1.34,0.95,0,0.89,1.44,0.93
"90",8.68,1.71,10.85,0,1.63,0,0,1.73,0,9.63,0,9.18,2.24,9.91
"91",0.85,0,4.55,0,4.6,0,0,0,4.96,0,0,0,4.36,4.27
"92",1.78,0,0,0,1.94,2.37,2.44,1.38,0,0,0,0,1.89,1.73
"93",0,0,0,0,3.51,0,2.67,0,0,0,0,0,0,0
"94",1.55,1.07,0.47,2.98,0.97,2.89,1.6,1.29,1.5,1.24,0,0.64,1.49,1.61
"95",1.39,0,0.4,3.35,1.51,0,1.22,1.47,1.34,0.95,0,0.5,1.78,1.36
"96",2.56,0,4.48,3.91,4.18,4.74,3.89,4.83,0,2.38,0,3.9,2.76,1.98
"97",2.01,0.54,3.67,2.61,3.33,2.89,1.68,4.06,0.63,0.95,0,3.01,2.18,1.42
"98",12.94,10.28,0.54,17.5,15.01,1.05,12.21,13.89,0.87,10.96,0.45,0.99,11.19,11.39
"99",10.46,1.93,0.84,13.78,11.99,1.32,11.76,1.64,1.5,1.53,0,0.99,1.09,1.55
"100",1.39,1.39,1.18,3.17,10.41,0.79,1.45,8.97,1.26,0.76,0,1.2,1.09,7.86
